sawage_holding_tank
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
295;;10.9;10.9;10.9;10.9;10.9;10.9;10.9;10.9;0.0;0.0;0.0;0.0
300;;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;0.0;0.0;0.0;0.0
305;;11.3;11.3;11.3;11.3;11.3;11.3;11.3;11.3;0.0;0.0;0.0;0.0
310;;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;0.0;0.0;0.0;0.0
315;;11.7;11.7;11.7;11.7;11.7;11.7;11.7;11.7;0.0;0.0;0.0;0.0
320;;11.9;11.9;11.9;11.9;11.9;11.9;11.9;11.9;0.0;0.0;0.0;0.0
325;;12.05;12.05;12.05;12.05;12.05;12.05;12.05;12.05;0.0;0.0;0.0;0.0
330;;12.2;12.2;12.2;12.2;12.2;12.2;12.2;12.2;0.0;0.0;0.0;0.0
335;;12.4;12.4;12.4;12.4;12.4;12.4;12.4;12.4;0.0;0.0;0.0;0.0
340;;12.6;12.6;12.6;12.6;12.6;12.6;12.6;12.6;0.0;0.0;0.0;0.0
345;;12.8;12.8;12.8;12.8;12.8;12.8;12.8;12.8;0.0;0.0;0.0;0.0
350;;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;0.0;0.0;0.0;0.0
355;;13.15;13.15;13.15;13.15;13.15;13.15;13.15;13.15;0.0;0.0;0.0;0.0
360;;13.3;13.3;13.3;13.3;13.3;13.3;13.3;13.3;0.0;0.0;0.0;0.0
365;;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
370;;13.7;13.7;13.7;13.7;13.7;13.7;13.7;13.7;0.0;0.0;0.0;0.0
375;;13.9;13.9;13.9;13.9;13.9;13.9;13.9;13.9;0.0;0.0;0.0;0.0
380;;14.1;14.1;14.1;14.1;14.1;14.1;14.1;14.1;0.0;0.0;0.0;0.0
385;;14.25;14.25;14.25;14.25;14.25;14.25;14.25;14.25;0.0;0.0;0.0;0.0
390;;14.4;14.4;14.4;14.4;14.4;14.4;14.4;14.4;0.0;0.0;0.0;0.0
395;;14.6;14.6;14.6;14.6;14.6;14.6;14.6;14.6;0.0;0.0;0.0;0.0
400;;14.8;14.8;14.8;14.8;14.8;14.8;14.8;14.8;0.0;0.0;0.0;0.0
405;;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;0.0;0.0;0.0;0.0
410;;15.2;15.2;15.2;15.2;15.2;15.2;15.2;15.2;0.0;0.0;0.0;0.0
415;;15.4;15.4;15.4;15.4;15.4;15.4;15.4;15.4;0.0;0.0;0.0;0.0
420;;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;0.0;0.0;0.0;0.0
425;;15.75;15.75;15.75;15.75;15.75;15.75;15.75;15.75;0.0;0.0;0.0;0.0
430;;15.9;15.9;15.9;15.9;15.9;15.9;15.9;15.9;0.0;0.0;0.0;0.0
435;;16.1;16.1;16.1;16.1;16.1;16.1;16.1;16.1;0.0;0.0;0.0;0.0
440;;16.3;16.3;16.3;16.3;16.3;16.3;16.3;16.3;0.0;0.0;0.0;0.0
445;;16.5;16.5;16.5;16.5;16.5;16.5;16.5;16.5;0.0;0.0;0.0;0.0
450;;16.7;16.7;16.7;16.7;16.7;16.7;16.7;16.7;0.0;0.0;0.0;0.0
