gray_holding_tank
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
295;;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;0,0;0,0;0,0;0,0
300;;15.9;15.9;15.9;15.9;15.9;15.9;15.9;15.9;0,0;0,0;0,0;0,0
305;;16.15;16.15;16.15;16.15;16.15;16.15;16.15;16.15;0,0;0,0;0,0;0,0
310;;16.4;16.4;16.4;16.4;16.4;16.4;16.4;16.4;0,0;0,0;0,0;0,0
315;;16.65;16.65;16.65;16.65;16.65;16.65;16.65;16.65;0,0;0,0;0,0;0,0
320;;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;0,0;0,0;0,0;0,0
325;;17.2;17.2;17.2;17.2;17.2;17.2;17.2;17.2;0,0;0,0;0,0;0,0
330;;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;0,0;0,0;0,0;0,0
335;;17.75;17.75;17.75;17.75;17.75;17.75;17.75;17.75;0,0;0,0;0,0;0,0
340;;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;0,0;0,0;0,0;0,0
345;;18.25;18.25;18.25;18.25;18.25;18.25;18.25;18.25;0,0;0,0;0,0;0,0
350;;18.5;18.5;18.5;18.5;18.5;18.5;18.5;18.5;0,0;0,0;0,0;0,0
355;;18.8;18.8;18.8;18.8;18.8;18.8;18.8;18.8;0,0;0,0;0,0;0,0
360;;19.1;19.1;19.1;19.1;19.1;19.1;19.1;19.1;0,0;0,0;0,0;0,0
365;;19.35;19.35;19.35;19.35;19.35;19.35;19.35;19.35;0,0;0,0;0,0;0,0
370;;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;0,0;0,0;0,0;0,0
375;;19.85;19.85;19.85;19.85;19.85;19.85;19.85;19.85;0,0;0,0;0,0;0,0
380;;20.1;20.1;20.1;20.1;20.1;20.1;20.1;20.1;0,0;0,0;0,0;0,0
385;;20.35;20.35;20.35;20.35;20.35;20.35;20.35;20.35;0,0;0,0;0,0;0,0
390;;20.6;20.6;20.6;20.6;20.6;20.6;20.6;20.6;0,0;0,0;0,0;0,0
395;;20.9;20.9;20.9;20.9;20.9;20.9;20.9;20.9;0,0;0,0;0,0;0,0
400;;21.2;21.2;21.2;21.2;21.2;21.2;21.2;21.2;0,0;0,0;0,0;0,0
405;;21.45;21.45;21.45;21.45;21.45;21.45;21.45;21.45;0,0;0,0;0,0;0,0
410;;21.7;21.7;21.7;21.7;21.7;21.7;21.7;21.7;0,0;0,0;0,0;0,0
415;;21.95;21.95;21.95;21.95;21.95;21.95;21.95;21.95;0,0;0,0;0,0;0,0
420;;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;0,0;0,0;0,0;0,0
425;;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;0,0;0,0;0,0;0,0
430;;22.8;22.8;22.8;22.8;22.8;22.8;22.8;22.8;0,0;0,0;0,0;0,0
435;;23.05;23.05;23.05;23.05;23.05;23.05;23.05;23.05;0,0;0,0;0,0;0,0
440;;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;0,0;0,0;0,0;0,0
445;;23.55;23.55;23.55;23.55;23.55;23.55;23.55;23.55;0,0;0,0;0,0;0,0
450;;23.8;23.8;23.8;23.8;23.8;23.8;23.8;23.8;0,0;0,0;0,0;0,0
455;;24.05;24.05;24.05;24.05;24.05;24.05;24.05;24.05;0,0;0,0;0,0;0,0
460;;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;0,0;0,0;0,0;0,0
465;;24.6;24.6;24.6;24.6;24.6;24.6;24.6;24.6;0,0;0,0;0,0;0,0
470;;24.9;24.9;24.9;24.9;24.9;24.9;24.9;24.9;0,0;0,0;0,0;0,0
