ME_CYL_STORE_1
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.0;0.0;0.0;0.0
10;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.0;0.0;0.0
15;;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.0;0.0;0.0;0.0
20;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
25;;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;0.0;0.0;0.0;0.0
30;;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;0.0;0.0;0.0;0.0
35;;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;0.0;0.0;0.0;0.0
40;;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0
45;;2.25;2.25;2.25;2.25;2.25;2.25;2.25;2.25;0.0;0.0;0.0;0.0
50;;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.0;0.0;0.0;0.0
55;;2.75;2.75;2.75;2.75;2.75;2.75;2.75;2.75;0.0;0.0;0.0;0.0
60;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0
65;;3.25;3.25;3.25;3.25;3.25;3.25;3.25;3.25;0.0;0.0;0.0;0.0
70;;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;0.0;0.0;0.0;0.0
75;;3.75;3.75;3.75;3.75;3.75;3.75;3.75;3.75;0.0;0.0;0.0;0.0
80;;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0
85;;4.3;4.3;4.3;4.3;4.3;4.3;4.3;4.3;0.0;0.0;0.0;0.0
90;;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;0.0;0.0;0.0;0.0
95;;4.85;4.85;4.85;4.85;4.85;4.85;4.85;4.85;0.0;0.0;0.0;0.0
100;;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0.0;0.0;0.0;0.0
105;;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;0.0;0.0;0.0;0.0
110;;5.7;5.7;5.7;5.7;5.7;5.7;5.7;5.7;0.0;0.0;0.0;0.0
115;;5.95;5.95;5.95;5.95;5.95;5.95;5.95;5.95;0.0;0.0;0.0;0.0
120;;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;0.0;0.0;0.0;0.0
125;;6.5;6.5;6.5;6.5;6.5;6.5;6.5;6.5;0.0;0.0;0.0;0.0
130;;6.8;6.8;6.8;6.8;6.8;6.8;6.8;6.8;0.0;0.0;0.0;0.0
135;;7.1;7.1;7.1;7.1;7.1;7.1;7.1;7.1;0.0;0.0;0.0;0.0
