Bilge Tank
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;cm;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
245;230;53.0;53.1;53.1;53.2;53.2;53.2;52.6;52.4;-1.6;-0.6;-0.3;-0.1
250;225;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;-0.7;-0.1;0.0;0.0
255;220;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;-0.2;0.0;0.0;0.0
260;215;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;-0.5;0.0;0.0;0.0
265;210;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
270;205;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
275;200;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
280;195;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
285;190;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
290;185;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
295;180;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
300;175;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
305;170;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
310;165;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
315;160;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
320;155;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
325;150;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
330;145;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
335;140;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
340;135;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
345;130;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
350;125;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
355;120;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
360;115;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
365;110;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
370;105;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
375;100;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
380;95;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
385;90;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
390;85;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
395;80;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
400;75;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
405;70;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
410;65;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
415;60;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
420;55;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
