name,sounding_cm,ullage_cm,trim,heel,volume_m3,correction_m3
NO2 MGO TK,80,2119,-1,nan,41.8,nan
NO2 MGO TK,80,2119,0,nan,42.5,nan
NO2 MGO TK,80,2119,1,nan,43.0,nan
NO2 MGO TK,80,2119,2,nan,43.6,nan
NO2 MGO TK,80,2119,nan,P2,nan,1.9
NO2 MGO TK,80,2119,nan,P1,nan,-0.7
NO2 MGO TK,80,2119,nan,S-1,nan,1.5
NO2 MGO TK,80,2119,nan,S-2,nan,3.5
NO2 MGO TK,90,2109,-6,nan,44.4,nan
NO2 MGO TK,90,2109,-4,nan,46.6,nan
NO2 MGO TK,90,2109,-3,nan,47.2,nan
NO2 MGO TK,90,2109,-2,nan,47.8,nan
NO2 MGO TK,90,2109,-1,nan,48.4,nan
NO2 MGO TK,90,2109,0,nan,49.0,nan
NO2 MGO TK,90,2109,1,nan,49.5,nan
NO2 MGO TK,90,2109,2,nan,50.1,nan
NO2 MGO TK,90,2109,nan,P2,nan,1.7
NO2 MGO TK,90,2109,nan,P1,nan,-0.2
NO2 MGO TK,90,2109,nan,S-1,nan,0.6
NO2 MGO TK,90,2109,nan,S-2,nan,3.2
NO2 MGO TK,100,2099,-6,nan,52.0,nan
NO2 MGO TK,100,2099,-4,nan,53.2,nan
NO2 MGO TK,100,2099,-3,nan,53.7,nan
NO2 MGO TK,100,2099,-2,nan,54.3,nan
NO2 MGO TK,100,2099,-1,nan,54.9,nan
NO2 MGO TK,100,2099,0,nan,55.5,nan
NO2 MGO TK,100,2099,1,nan,56.0,nan
NO2 MGO TK,100,2099,2,nan,56.6,nan
NO2 MGO TK,100,2099,nan,P2,nan,0.6
NO2 MGO TK,100,2099,nan,P1,nan,-0.6
NO2 MGO TK,100,2099,nan,S-1,nan,0.3
NO2 MGO TK,100,2099,nan,S-2,nan,2.0
NO2 MGO TK,110,2089,-6,nan,58.5,nan
NO2 MGO TK,110,2089,-4,nan,59.6,nan
NO2 MGO TK,110,2089,-3,nan,60.2,nan
